R,Motifs_007_00,Seqs_007_00,Volume_007_00,Motifs_003_00,Seqs_003_00,Volume_003_00,Motifs_003_07,Seqs_003_07,Volume_003_07,Motifs_007_07,Seqs_007_07,Volume_007_07,Motifs_05_00,Seqs_05_00,Volume_05_00
10,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00,0.12±0.38,0.16±0.49,0.09±0.26
20,0.34±0.55,0.61±1.11,0.20±0.31,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00,0.14±0.45,0.19±0.61,0.07±0.21,3.00±1.67,7.96±4.81,0.78±0.18
30,2.20±1.33,4.43±2.90,0.56±0.21,0.04±0.20,0.09±0.48,0.03±0.16,0.08±0.39,0.12±0.57,0.03±0.13,2.50±3.68,5.20±9.57,0.36±0.33,10.06±2.44,30.06±9.07,0.76±0.06
50,10.10±2.21,26.31±6.63,0.55±0.05,0.44±0.67,0.83±1.48,0.23±0.32,0.66±1.56,1.31±3.07,0.18±0.32,11.26±5.88,29.15±20.98,0.55±0.10,18.30±1.10,74.60±7.15,0.73±0.04
75,17.88±1.19,63.36±6.04,0.54±0.03,3.02±1.63,6.16±3.85,0.59±0.09,3.14±3.85,6.34±8.77,0.42±0.29,18.86±2.58,67.42±17.68,0.54±0.07,19.98±0.14,95.78±2.13,0.74±0.03
100,19.82±0.38,85.52±3.67,0.54±0.03,7.68±1.94,18.69±5.72,0.57±0.06,8.68±5.11,19.96±14.99,0.52±0.10,19.86±0.63,89.19±9.53,0.56±0.06,20.00±0.00,99.45±0.65,0.75±0.03
150,20.00±0.00,98.69±0.97,0.56±0.02,16.38±1.90,51.25±7.98,0.53±0.03,16.86±3.73,54.45±19.85,0.52±0.06,20.00±0.00,99.01±1.80,0.56±0.05,20.00±0.00,100.00±0.01,0.76±0.02
200,20.00±0.00,99.90±0.18,0.56±0.02,19.46±0.70,78.07±5.42,0.54±0.03,19.52±1.39,79.41±15.11,0.52±0.06,20.00±0.00,99.91±0.30,0.56±0.04,20.00±0.00,100.00±0.00,0.76±0.02
350,20.00±0.00,100.00±0.00,0.56±0.02,20.00±0.00,98.96±0.94,0.55±0.02,20.00±0.00,99.06±1.71,0.54±0.05,20.00±0.00,100.00±0.00,0.56±0.03,20.00±0.00,100.00±0.00,0.76±0.01
500,20.00±0.00,100.00±0.00,0.56±0.02,20.00±0.00,99.98±0.03,0.55±0.02,20.00±0.00,99.97±0.08,0.54±0.04,20.00±0.00,100.00±0.00,0.56±0.02,20.00±0.00,100.00±0.00,0.76±0.01
